"Activity.Name" "Set" "tBodyAcc.mean.X" "tBodyAcc.mean.Y" "tBodyAcc.mean.Z"
"LAYING" "test" 0.267227589560521 -0.0182456228329236 -0.108134996675233
"LAYING" "training" 0.26919100708877 -0.0183452479771855 -0.107168709636461
"SITTING" "test" 0.272039760352342 -0.0141221515132994 -0.102730909698778
"SITTING" "training" 0.273448998825428 -0.0121426088459798 -0.106580744993313
"STANDING" "test" 0.278791235789474 -0.0162262731035301 -0.10466868287406
"STANDING" "training" 0.279293757074236 -0.0161230846636681 -0.10732962785709
"WALKING" "test" 0.276526397258064 -0.018250712002498 -0.108875750766129
"WALKING" "training" 0.276260200872757 -0.0177677108511182 -0.108884089505465
"WALKING_DOWNSTAIRS" "test" 0.288062900461905 -0.0161751510247702 -0.105529914174286
"WALKING_DOWNSTAIRS" "training" 0.288168888475659 -0.0163701864217556 -0.105860325152107
"WALKING_UPSTAIRS" "test" 0.263126445989384 -0.0242744604190291 -0.120798485155414
"WALKING_UPSTAIRS" "training" 0.261929527252004 -0.0266470525735974 -0.120423564420037
